layer,slope,intercept,r2,num_points
0,-1.3187032748074372,7.238101836335233,0.9213690782526796,2560
1,-1.1693905415623398,6.39599315390906,0.9352223124052009,2560
2,-1.1004646728826821,6.026290872422125,0.9488527851849373,2560
3,-1.0373569367536013,5.754235245427979,0.9515055996324552,2560
4,-0.9927118535686892,5.483977590219997,0.9546278761951239,2560
5,-0.9928338421243517,5.4718101989968035,0.9593362458267067,2560
6,-0.950250122879731,5.345005280003658,0.9530083530337754,2560
7,-0.9305161627335908,5.310662742008453,0.953185035115298,2560
8,-0.9246397170846996,5.354780575362349,0.9528039265768765,2560
9,-1.0053969459555283,5.8271856465154235,0.9469856120144368,2560
10,-1.0892702114670498,6.214531586028611,0.9310061068048602,2560
11,-1.1141312992113286,6.337692512350046,0.9323350876556767,2560
12,-1.15708880467832,6.535950102060362,0.9276957039780025,2560
13,-1.1638252892429752,6.588082079449285,0.9287883247906259,2560
14,-1.2211613466029902,6.838825257160549,0.9199686927318538,2560
15,-1.1925719425971013,6.679962658008008,0.9258663642832229,2560
16,-1.2333970255813425,6.829970297992747,0.9247360522952507,2560
17,-1.2296269212575561,6.798751473663487,0.9249900495136161,2560
18,-1.21229961422671,6.708011411410389,0.9212179732534302,2560
19,-1.1910215315239523,6.536940254259932,0.9317796620425949,2560
20,-1.1664819101657078,6.423420752049212,0.9336074796310593,2560
21,-1.1429504565770177,6.305797049600371,0.9342960444890615,2560
22,-1.1799831747584715,6.509301304688666,0.9345516726549475,2560
23,-1.1468042620736543,6.336141044031389,0.9358331751509723,2560
24,-1.1418111946602478,6.250264034242701,0.9381153719886085,2560
25,-1.0881638867518608,5.975962500110013,0.9346075736211035,2560
26,-1.0426173434118844,5.710431440403031,0.9307942317246152,2560
27,-1.0213336561518256,5.606654477936564,0.9282095899215634,2560
28,-1.0070994145333982,5.554860765049465,0.9246006713555186,2560
29,-0.9591804428195415,5.267930518776414,0.9206387155566792,2560
30,-0.9167780184241183,4.961823536694224,0.9160374455742091,2560
31,-0.8771684442941295,4.691344245662469,0.9094253652452331,2560
32,-0.8360668858493716,4.421648166843086,0.9229443512801512,2560
33,-0.808429953967156,4.192314028813188,0.9165860359331375,2560
34,-0.7962238072166504,3.8372390096911304,0.9002689858468841,2560
35,-0.8813560409411761,4.491218277283648,0.8759238587990779,2560
