layer,intrinsic_dimension
0,4.301688173001195
1,5.002852886014612
2,6.015626811156734
3,6.462696600775305
4,6.725620792120064
5,6.787379153391129
6,6.662558128408464
7,6.974361503025139
8,7.455226013237984
9,7.865674559897566
10,8.092155487690867
11,8.366122951519351
12,8.615357343773008
13,9.08950221998117
14,9.532108918214346
15,10.188054235740292
16,10.462135909696496
17,10.69613799857644
18,11.006538118933639
19,11.350079576304125
20,11.415600006032735
21,11.39022615932807
22,10.814073848849752
23,10.154844359599487
24,9.214314403171707
25,8.913123865261467
26,8.643532487551226
27,8.383775466246126
28,8.144730134279591
29,7.991614375364267
30,7.801155591646315
31,7.673906915265319
32,7.692266748833697
33,7.686500723533885
34,7.595354630773281
35,7.394665857420622
