layer,slope_k,intercept_logc,r2
0,-0.7630610585762528,3.959357623109401,0.9826275783878384
1,-0.7351798667690459,3.776061879094345,0.9780840948689394
2,-0.7254061591986769,3.7433279327764395,0.9763518521108768
3,-0.6979626231122225,3.671289687358775,0.9710875207817637
4,-0.7019489330742571,3.678358003992021,0.9718894976891029
5,-0.6683396902819863,3.471096523926193,0.9647179587888208
6,-0.6367753088782612,3.3884503729343614,0.9571049576241353
7,-0.5989916341412945,3.2337347500842166,0.9468010838848872
8,-0.5990043617693583,3.292418935534605,0.9468047832409744
9,-0.5869676891640001,3.236879142547166,0.9432351465791609
10,-0.5938208756290365,3.2194689399868386,0.945285067126112
11,-0.5915749147264144,3.201131012827969,0.9446183853432015
12,-0.5886831690180757,3.144968442646164,0.9437526567954074
13,-0.572696124185733,3.0655844768269502,0.9388148280703396
14,-0.5865255056401069,3.0790452763664615,0.9431012764827909
15,-0.5581091415068619,2.9089006801203188,0.9340799333599508
16,-0.5717331313749219,2.923918007144665,0.9385090769516837
17,-0.5773830999233152,2.9422042479692228,0.9402893455018476
18,-0.5646205015919815,2.8646519625071867,0.9362210343823274
19,-0.5570078634253259,2.779751854249344,0.933713364796239
20,-0.5598945921921973,2.8173326250088073,0.9346714944910869
21,-0.5623078960914039,2.84130947364299,0.935465713505647
22,-0.5767637140348245,2.9418968617664856,0.9400957767768384
23,-0.5653748793640613,2.872591349927185,0.9364662078616603
24,-0.6047167937769775,3.040768149144337,0.9484492587509484
25,-0.5975908794709047,3.0073063054508284,0.9463929809971959
26,-0.5849085989005512,2.908982292217879,0.9426100952571046
27,-0.5783600517904074,2.880955134639637,0.9405938648094189
28,-0.5916236986869137,2.9793495692407697,0.9446329191259513
29,-0.6149349533419218,3.092462748786215,0.9513126584161918
30,-0.6516825789583351,3.2495089754527395,0.9608095833924424
31,-0.6626271441162926,3.2713817747919953,0.9634046360522294
32,-0.6696565287901483,3.290695396283491,0.9650167394684769
33,-0.6642510500250994,3.197492992210485,0.9637808256898235
34,-0.6534580825008681,2.864658524345599,0.9612376782238535
35,-1.0021944167022578,5.136162266606797,0.9999985977974281
