layer,log_eig_mean
0,-7.596890268663046
1,-7.496083479004798
2,-7.368422536536151
3,-7.305078447990368
4,-7.293888994881854
5,-7.2583762569853665
6,-6.960619326126457
7,-6.850389969747636
8,-6.7827583114513645
9,-6.8035937989267605
10,-6.8993493826198105
11,-6.907730663294129
12,-6.949951190331282
13,-6.912225670728949
14,-6.977571929771225
15,-6.942740927243103
16,-7.016088896374025
17,-7.013499517998573
18,-6.995692748349848
19,-7.013959703368821
20,-6.988277536865361
21,-6.973620929322517
22,-7.009052558324332
23,-6.9977888581547845
24,-7.032862898039968
25,-7.015346482370033
26,-7.015358287795541
27,-6.997932918439682
28,-6.998479652398982
29,-7.004283290991853
30,-7.030460604623579
31,-7.04721600119529
32,-7.05811552201874
33,-7.082590975861611
34,-7.272805472678502
35,-7.161844426922391
