layer,log_eig_mean
0,-3.1591854894427045
1,-2.988946115888545
2,-2.6882671857313682
3,-2.4129144389480137
4,-2.279267472187015
5,-2.15324254439223
6,-2.089369157797034
7,-2.073552302644139
8,-2.098858557301969
9,-2.2018034588771425
10,-2.613828777076377
11,-7.058697452953758
