layer,slope,intercept,r2,num_points
0,-1.3576851762181967,7.924776606974472,0.916860528937571,4096
1,-1.221694848994015,7.052503713431287,0.9311669841636465,4096
2,-1.150429940308507,6.663132900919952,0.9474809753371224,4096
3,-1.0929645616824188,6.390529568079894,0.9548758489608983,4096
4,-1.0253800333314285,5.956423522206833,0.9608527186660247,4096
5,-1.0066984028753394,5.819342982865963,0.971139342709304,4096
6,-0.9638240281140465,5.638100390154797,0.976424407041787,4096
7,-0.9431959851967835,5.614071424943175,0.9779711238003184,4096
8,-0.9352006810573602,5.6859738258189,0.9746722114188404,4096
9,-1.0070387525609705,6.170701730229364,0.9702401921436087,4096
10,-1.0711145074749917,6.505970708557733,0.9691688109794757,4096
11,-1.0927287342929424,6.628904188791761,0.9684792531901785,4096
12,-1.1328344688228644,6.823124638027862,0.9629483061897525,4096
13,-1.1426641787134013,6.906446570846421,0.9625051996254833,4096
14,-1.1813920071378778,7.093491626871317,0.9521913750155275,4096
15,-1.1545792453448236,6.934345707823053,0.9587467876627315,4096
16,-1.1817525369337212,7.0356681117974835,0.9548784841320326,4096
17,-1.1672068230273336,6.9332916806066685,0.9571895789415361,4096
18,-1.1431875291740476,6.791497092420309,0.9586127112605958,4096
19,-1.1382985584103684,6.695751821541804,0.967588768640092,4096
20,-1.11350484780046,6.559530657128162,0.9704169452987922,4096
21,-1.0893501505187457,6.4477052534304775,0.9724405329521095,4096
22,-1.1138204702887031,6.557849214519028,0.9715086638462204,4096
23,-1.0952957449676124,6.471711789118109,0.9709462959876849,4096
24,-1.072756339988042,6.301731785863008,0.9722791218349243,4096
25,-1.028680554413345,6.065992577294007,0.9707326363003903,4096
26,-0.9894400459370413,5.825750793002119,0.9694320364909341,4096
27,-0.9707763076871772,5.722146518880743,0.9694689503921331,4096
28,-0.9578647221649461,5.663796174782883,0.9680078861373331,4096
29,-0.9222186466511377,5.429428271950807,0.9672851060219652,4096
30,-0.8920467277694742,5.199746062611419,0.9664306731602299,4096
31,-0.8564930421963418,4.94392098753594,0.9638365580280049,4096
32,-0.8183653693239801,4.663527020646753,0.9632969138144944,4096
33,-0.7875526052296354,4.377164864421676,0.9547962134136496,4096
34,-0.7672507797871311,3.7780092176038482,0.96160760124356,4096
35,-0.8091207077192171,4.025329070542727,0.904698026233902,4096
