layer,slope_k,intercept_logc,r2
0,-0.7918749613149277,4.239295696193878,0.986723267697489
1,-0.7667158568787504,4.016767084639703,0.9831803407726217
2,-0.7786732379238898,4.1501344463912355,0.9849208792832542
3,-0.7696822920917076,4.183879093437338,0.9836218159517109
4,-0.7860717803385189,4.265902313310059,0.9859462626328218
5,-0.7627808221190809,4.121165432308448,0.9825847903474394
6,-0.7475865599067787,4.109113040654067,0.9801778615229005
7,-0.7143449813882431,3.9865745642540835,0.9743018673519113
8,-0.7083138830709366,4.0403766555856535,0.9731434874736669
9,-0.6918857521584227,3.983365705193358,0.9698401126142472
10,-0.6935148492273903,3.965415126157178,0.9701774775356707
11,-0.6874074776571495,3.9261527794756104,0.9689014892584767
12,-0.6829513821909867,3.8610137291703235,0.9679510690626018
13,-0.6649836947027704,3.7718151226590715,0.9639498052577068
14,-0.6873376087051628,3.8682136637403293,0.9688867141463152
15,-0.6495540385111812,3.6254052061530686,0.9602927103790138
16,-0.6653180799006132,3.672332579397443,0.9640267756716505
17,-0.6704211595774606,3.6858676530011745,0.9651895502400303
18,-0.646456352840981,3.529225614342713,0.9595333452387727
19,-0.6406529116792264,3.4499273700624298,0.9580877066315452
20,-0.6427173682379974,3.4707759764195183,0.9586054125594633
21,-0.6413198775861408,3.486574681980385,0.9582553802110183
22,-0.6495023678202866,3.513100294269012,0.9602801135026708
23,-0.6432791021653252,3.4747559189903847,0.9587456186434903
24,-0.6593588804329242,3.525099785341022,0.9626406158602071
25,-0.6512969692024496,3.483419154230048,0.9607162420075998
26,-0.6461290963123546,3.4323505027480112,0.9594526246869819
27,-0.644077672002965,3.423279611777656,0.9589444524853431
28,-0.6553745508129107,3.5083172545970243,0.9616966587298711
29,-0.6891538114660507,3.698885303690497,0.9692694756860324
30,-0.7225195231973306,3.870837085361989,0.9758260978018771
31,-0.7313093762307918,3.8919172861271627,0.9774069098672686
32,-0.7341060045931694,3.876890432359205,0.9778973625432492
33,-0.7207067567838995,3.7057655570009356,0.9754926103741647
34,-0.6923431328042762,3.073520903894583,0.9699350496781477
35,-1.36138675844363,7.269784909301668,0.9620949831498122
