layer,slope,intercept,r2,num_points
0,154.11918218412413,0.17626803394446836,0.9577896171732844,4096
1,135.0052455661876,0.18245210241823476,0.9648497810817327,4096
2,147.82826774478772,0.18481312996027874,0.9737138323325794,4096
3,157.88772812745404,0.2093405589481641,0.9753429104735402,4096
4,161.62200022597096,0.19230590505990547,0.9708395301315641,4096
5,151.96649161574757,0.21059739969517477,0.9576703692177718,4096
6,158.39310784709912,0.2413346793701226,0.9672592374013564,4096
7,157.16613345969768,0.29170933558587575,0.9592355493324108,4096
8,169.28527944215327,0.32525343439921467,0.9625095885895308,4096
9,168.98367858694306,0.3561544446359307,0.936471399858582,4096
10,165.07698697577507,0.34477615357829566,0.9114331207955082,4096
11,161.98431245719374,0.34999375396521015,0.8954814909143404,4096
12,154.02793930904696,0.3410858871870896,0.8716573730407052,4096
13,149.43377468487293,0.36490353439653417,0.842136183181415,4096
14,152.90128312694202,0.3304961121826449,0.8616672870496698,4096
15,135.66343332892654,0.3597504181509772,0.795725546301005,4096
16,135.13631507848322,0.3293965366718037,0.8108690397478282,4096
17,134.71853236584178,0.3194472053152145,0.818618017633629,4096
18,124.44737133303325,0.3354666173931012,0.7864570186417583,4096
19,117.09827053054168,0.3254694403071166,0.7666423965955896,4096
20,118.78559548920389,0.3265888225577864,0.7864939050733192,4096
21,121.21295559884199,0.3357253041540409,0.805303999698613,4096
22,121.27216542021247,0.3216759933217748,0.8104038160395789,4096
23,119.04688519681615,0.3263391917059169,0.8162661241406004,4096
24,118.90946020886051,0.2992707918233923,0.8485782278567537,4096
25,117.05151665927373,0.30753719388530254,0.8577468486050079,4096
26,113.07487112264432,0.3053382781348365,0.8600996145882419,4096
27,112.7874280414289,0.30788046313248424,0.8589498558454056,4096
28,118.44207343050049,0.3045094213770235,0.8912823894780869,4096
29,128.306912041765,0.27455923306225194,0.921178903431499,4096
30,136.13358607410538,0.24097253190121004,0.9498412157283436,4096
31,134.89138009839243,0.22673138759192124,0.958295452254637,4096
32,131.60083909814742,0.21754924749921273,0.9579518259369244,4096
33,116.13757291113805,0.20776188760004013,0.9576423185305788,4096
34,67.92682076921515,0.14280019206409922,0.9436345750196989,4096
35,305.33553283767407,-0.23834970061246252,0.9283713284725266,4096
