layer,avg_cosine_similarity
0,0.48759078410183704
1,0.523828635862012
2,0.494334888285699
3,0.4490244713572205
4,0.46162029986812564
5,0.46354025699789436
6,0.4159250015510192
7,0.36662560161506696
8,0.3062669047124903
9,0.2779595817592867
10,0.3022421309221603
11,0.30553260310228536
12,0.33098800770428444
13,0.3147792054157749
14,0.34023688986042716
15,0.3459847577408244
16,0.38016083517101046
17,0.389389281147226
18,0.394868484678339
19,0.42130713322747826
20,0.4160469593989715
21,0.4018849613892946
22,0.4148658360967304
23,0.41423706648018144
24,0.44364901440081833
25,0.4403960085505597
26,0.4529378624733508
27,0.4522068570211986
28,0.4455518589766964
29,0.4588401004225526
30,0.47817673695926693
31,0.49633867770194307
32,0.5121955052463848
33,0.5559668910440592
34,0.7194393552472842
35,0.587757236743637
