layer,log_eig_mean
0,-2.0121291731208304
1,-1.8890880628718367
2,-1.7568705900875088
3,-1.6088844791984058
4,-1.548338965063536
5,-1.5486885413561087
6,-1.4161333333354529
7,-1.289185531261767
8,-1.1587654524233533
9,-1.1998208153411292
10,-1.3335226636241735
11,-1.3687838364376557
12,-1.4680974938163456
13,-1.4567192654285956
14,-1.5531234131385954
15,-1.5160265711191783
16,-1.6135856479060415
17,-1.6095019135711457
18,-1.5754991489504593
19,-1.6354620140906593
20,-1.590217864906436
21,-1.5252548973090172
22,-1.5942093503610608
23,-1.544764202318427
24,-1.5497781681264144
25,-1.4629264431629296
26,-1.4159667154089968
27,-1.382970979644537
28,-1.3468213534595708
29,-1.3202954202128523
30,-1.3291491780205695
31,-1.3247566195357852
32,-1.326093924701455
33,-1.3869372795187767
34,-1.837503746665333
35,-1.8966301422149558
