layer,avg_cosine_similarity
0,0.5555854098275563
1,0.5637365765575737
2,0.5312995193119775
3,0.4866861219344262
4,0.4660123469644776
5,0.42279694906689436
6,0.40366505604137204
7,0.3974350199094592
8,0.40225965389285434
9,0.4057773025487846
10,0.3888148333586511
11,0.34685203327221137
12,0.3050985519255804
13,0.2971433625588439
14,0.3124292654319849
15,0.3166411352396191
16,0.3372882274565121
17,0.36326446761597236
18,0.365698260633033
19,0.36988190086134753
20,0.41670469096007595
21,0.4114745951422057
22,0.42672207595582257
23,0.4470719013110342
24,0.4484985999425808
25,0.4690353979224645
26,0.47271712064997884
27,0.46121845615308127
28,0.44481240246765963
29,0.4356765979548551
30,0.43286430207535065
31,0.42552497053690336
32,0.42236941733625843
33,0.4245645019144926
34,0.4289916567918113
35,0.4529416097891064
36,0.4809017651198548
37,0.5482957148390478
38,0.6657245222600486
39,0.4537377281209574
