layer,log_eig_mean
0,-10.332339080055522
1,-10.290729627937727
2,-10.244323465002507
3,-10.219245012032545
4,-10.223831065879589
5,-10.202283544120068
6,-10.065949025956504
7,-10.013574717583138
8,-9.98661180552413
9,-9.990301024086929
10,-10.02633279025613
11,-10.031570541814254
12,-10.047447562416773
13,-10.027994380884353
14,-10.061623729713826
15,-10.050436632551563
16,-10.083016472687241
17,-10.08038207963121
18,-10.066487142208683
19,-10.071801709762713
20,-10.057791086838943
21,-10.052040317824188
22,-10.065416355199275
23,-10.059921321388932
24,-10.070582858728997
25,-10.063166955007091
26,-10.068282867947278
27,-10.059649126746535
28,-10.059575839798208
29,-10.06528290016141
30,-10.078259616568472
31,-10.09168352938438
32,-10.102516209731526
33,-10.117225891926816
34,-10.210547744052349
35,-10.137937666051107
