layer,intrinsic_dimension
0,4.097262450128167
1,5.066411551064377
2,5.734464183192036
3,6.349868709919098
4,6.759399186570169
5,6.959813922390781
6,7.610353322566401
7,8.285229048131157
8,8.976902819179639
9,9.117120786332071
10,9.679836012880244
11,9.43006666181048
12,9.95926977458535
13,10.648410929560214
14,11.057896650686294
15,11.221874231203058
16,10.199490973315239
17,10.2114435067293
18,9.768505597241994
19,9.237448863273814
20,8.528825631255312
21,8.080671090043216
22,7.809421624475846
23,7.668257831641879
24,7.607832328106877
25,7.543121320582802
26,7.513027436859771
27,7.482543352303843
