layer,slope,intercept,r2,num_points
0,-1.2183754304202308,6.589656545655408,0.9130602539106747,2048
1,-1.1318751877441353,6.009914149451429,0.9457833010205838,2048
2,-1.036730933966084,5.58697901636569,0.9541293201644615,2048
3,-0.9748825710447392,5.183110808624051,0.9558013273617105,2048
4,-1.0003836007000888,5.326656216353773,0.9571163602096429,2048
5,-1.008635060613688,5.42720216245623,0.9582716205288941,2048
6,-1.0252533520205123,5.564675050387468,0.9533862796011122,2048
7,-1.0279129381274403,5.581420814561184,0.9555343343682217,2048
8,-1.0243299140767335,5.567383230361926,0.9545672459596403,2048
9,-1.0887362721323361,5.857429989814062,0.9537593164260267,2048
10,-1.1204501921286112,5.9173508179560335,0.9499741511843717,2048
11,-1.215536418067013,6.464008320622407,0.9462839792773523,2048
12,-1.1799663933148294,6.267861726444321,0.9445024193202928,2048
13,-1.1178781001891294,5.940556945084863,0.9455901936728404,2048
14,-1.094352419517036,5.844821307189118,0.9225951225598726,2048
15,-1.0506918598661124,5.607042129790464,0.9357590839684811,2048
16,-1.180037415452695,6.372722856213612,0.950635229250473,2048
17,-1.1387359489760565,6.127742011831557,0.9459037724073982,2048
18,-1.1195749500022205,6.001593780939717,0.9339437118408441,2048
19,-1.096709566044809,5.930432334970007,0.9394562482851739,2048
20,-1.0524037630700578,5.668549076778494,0.9392402323434315,2048
21,-0.9889853792285074,5.291114527477683,0.935650405201202,2048
22,-0.9399943388344726,4.94100122383859,0.9353164831865222,2048
23,-0.900751854964941,4.671762228912816,0.9327213577291185,2048
24,-0.8585782499517937,4.276055316650431,0.9281571062326232,2048
25,-0.8250815993244908,3.919603769789974,0.9245287662183497,2048
26,-0.7900941941071321,3.4576030142927014,0.9231041894362614,2048
27,-0.8537133620382442,3.887674895419869,0.8879830825689711,2048
