layer,avg_cosine_similarity
0,0.313173591892305
1,0.37281932980806837
2,0.31449573582323703
3,0.3697400589551743
4,0.37240209113455575
5,0.34519318538445265
6,0.3276181530510553
7,0.32396340047013206
8,0.33557796272872875
9,0.3518507654194295
10,0.41098345633427985
11,0.37513597955948746
12,0.3899423215325126
13,0.3995938019268169
14,0.40576629736836173
15,0.406346366249681
16,0.3306009563449384
17,0.37330760068761815
18,0.39684376232742663
19,0.36960019198180194
20,0.3915328826008749
21,0.4127401712364853
22,0.4564380527095831
23,0.48424359053522065
24,0.5593616591585705
25,0.6283876585968631
26,0.7105056682049372
27,0.5466457955585772
