layer,slope,intercept,r2,num_points
0,107.04495722579826,0.25662967586376334,0.9623986650224354,2048
1,87.52095248918917,0.2775171189727864,0.9243985836203396,2048
2,90.18425049652465,0.3265566310622626,0.8994826613249314,2048
3,85.72037015766483,0.2914684355351145,0.925037152813282,2048
4,84.66632852854829,0.2946539244518806,0.9301392270982899,2048
5,81.5783787653836,0.33210657247527275,0.9169635410847777,2048
6,80.35915447019019,0.35438358988637825,0.8974845265502325,2048
7,78.79857039155966,0.3648527133399702,0.8560899247183238,2048
8,70.68002201846957,0.38283884811147517,0.8143153302435556,2048
9,73.73131727204144,0.3577570800969416,0.8047435641500589,2048
10,76.29839870645917,0.2859971186328676,0.881645352416215,2048
11,81.96843279935462,0.2967595207064688,0.8883337744018064,2048
12,82.86326659379779,0.27816639853989394,0.9132135381441118,2048
13,77.69662308564654,0.28616845081282255,0.9065175652737428,2048
14,61.39851446071812,0.3450906859753388,0.7910171709451079,2048
15,60.942685229768024,0.3475331754358406,0.7902711425911199,2048
16,66.96793296256688,0.39780454628624007,0.7544761020905957,2048
17,61.49851179327399,0.3784213111812331,0.7697963578872924,2048
18,59.3851770966154,0.36367617684686854,0.782409202235145,2048
19,64.93485679505348,0.3714691078450196,0.8293794265286856,2048
20,66.14203827781967,0.34973063529498793,0.8481416799852991,2048
21,67.96719773093055,0.3227557473825313,0.8891548547469489,2048
22,69.85494303907568,0.27610198755748755,0.9212136709740786,2048
23,67.73654340163613,0.2583261945886005,0.9351213584852035,2048
24,59.9267605511135,0.2152465837006899,0.9484719904840735,2048
25,48.92893293992083,0.19045222238846415,0.9416095622894948,2048
26,43.85556692122579,0.12911582696555757,0.9583255824372713,2048
27,144.73481499969665,-0.11205104702900905,0.9568021551720245,2048
