layer,slope,intercept,r2,num_points
0,-1.206577682491002,5.865652045448031,0.8928626603063579,1024
1,-1.147647876453491,5.4744672524496565,0.9122518454030101,1024
2,-1.0824332521618638,5.18080415858001,0.9252091726138458,1024
3,-1.0300852414222765,4.9044580650153335,0.9244629800141346,1024
4,-1.0839098350959733,5.114718427669893,0.9269013520273389,1024
5,-1.1151018675794655,5.305050356182764,0.9277881113522835,1024
6,-1.1373877293442036,5.43356012288379,0.9239271842591354,1024
7,-1.1204777240935193,5.3475323351045585,0.9282861543163563,1024
8,-1.1337146616521883,5.406242032870847,0.9227696992771144,1024
9,-1.2156916722513265,5.738437275685629,0.9200653064999001,1024
10,-1.2269385421932837,5.713342170201816,0.9170606890819127,1024
11,-1.3811380447518178,6.401243406318966,0.9154211282215203,1024
12,-1.366279077152775,6.307932147675925,0.9148309618652105,1024
13,-1.292054464504041,5.943232651292243,0.9153774438189674,1024
14,-1.3397556440492961,6.168351990766097,0.8771669876457183,1024
15,-1.2501462597973099,5.771050166555563,0.900778626303328,1024
16,-1.370819419429468,6.398365781317641,0.9146142883945101,1024
17,-1.297568744759491,6.04775213399987,0.9077542440312862,1024
18,-1.279897831792183,5.962508442166323,0.8944658420950231,1024
19,-1.2527381389241947,5.886453800812842,0.8944686330961574,1024
20,-1.1943383022476668,5.598943409026297,0.9017968804652202,1024
21,-1.124076516063785,5.178979183057521,0.9014402273688069,1024
22,-1.0516692850956824,4.712087764037723,0.9071752413723337,1024
23,-0.9969530294930397,4.3916398675058606,0.9050255790496207,1024
24,-0.940407034595165,3.9281245871743575,0.8998072713871342,1024
25,-0.9015759525054671,3.5843582182319156,0.8938845758798188,1024
26,-0.8872515774636425,3.3506800246327875,0.899392732020425,1024
27,-0.9685760833274855,4.181403836945949,0.8672995422339344,1024
