layer,slope,intercept,r2,num_points
0,62.079829828531174,0.29719654566736725,0.9454819789345001,1024
1,50.072388771524786,0.3037474018989623,0.9144013450630086,1024
2,47.17075573436237,0.3416461335355539,0.8670852871271829,1024
3,42.18059054105198,0.34290134157203883,0.8771687145914809,1024
4,40.92073779526874,0.32927923184503033,0.8577491927860188,1024
5,41.644218421478065,0.35281238548326815,0.8535097893639542,1024
6,41.100153043574934,0.3621764417017243,0.8311663078943851,1024
7,43.970078208787086,0.34280829032716215,0.8557720143904496,1024
8,40.12728407089258,0.3580929875487286,0.8144815744702296,1024
9,38.40084785433135,0.3437390608516284,0.778588487054493,1024
10,41.04307898287101,0.28574525244207666,0.8488119888360686,1024
11,43.794506925251156,0.26601865175773026,0.8717452812013501,1024
12,44.07948793832979,0.24637938350469166,0.8928963806897152,1024
13,42.000517903016906,0.24054775746278817,0.9018544795379996,1024
14,34.039397237693535,0.27817826115052197,0.7986396100192412,1024
15,34.33987838600634,0.2858440007914024,0.8093942883682128,1024
16,36.816804500860485,0.32846371771281413,0.7534692436166854,1024
17,34.750447179012525,0.31504686070991045,0.7775603444863926,1024
18,34.38145103578877,0.30969045531834954,0.7873013886567274,1024
19,35.97427016988652,0.322762798935658,0.8148865243629858,1024
20,34.57905890410585,0.31997849821521546,0.818824924438661,1024
21,32.96440502791093,0.28595251759857915,0.8278867783571966,1024
22,30.71125921355098,0.24780334003507093,0.8496941243267124,1024
23,30.06862490657084,0.2301401602192724,0.8673692740951849,1024
24,26.137623875491254,0.18703513489740542,0.8904184354871254,1024
25,20.616887044546903,0.1746589950043885,0.8268463169743437,1024
26,20.20959996038713,0.13738274806707795,0.876589774932839,1024
27,75.18986785898396,0.011812530534823174,0.9890131990977769,1024
