layer,log_eig_mean
0,-1.2962960107931623
1,-1.337687984042303
2,-1.2442531243681252
3,-1.2098743145925839
4,-1.3191034880310955
5,-1.3139197846653647
6,-1.3176934064802832
7,-1.3033475664412608
8,-1.3232090710058253
9,-1.477609179851163
10,-1.5694629362602137
11,-1.796851982441724
12,-1.8019640677882633
13,-1.7260845380562189
14,-1.7841076560321358
15,-1.6495102377177113
16,-1.7384807880401305
17,-1.6542964652944105
18,-1.6346499684440943
19,-1.549491359820654
20,-1.4903546995029677
21,-1.4932622615785425
22,-1.5303621846880233
23,-1.5260278594493752
24,-1.6539000360472085
25,-1.7671746621622029
26,-1.9158268922644215
27,-1.567825324153442
