layer,q,k,v,o
0,0.896484375,0.7255859375,0.7607421875,0.955078125
1,0.8720703125,0.712890625,0.751953125,0.8740234375
2,0.853515625,0.689453125,0.7333984375,0.8779296875
3,0.8681640625,0.693359375,0.75,0.876953125
4,0.8828125,0.7060546875,0.755859375,0.888671875
5,0.873046875,0.708984375,0.7568359375,0.91015625
6,0.830078125,0.65234375,0.7431640625,0.880859375
7,0.8701171875,0.7080078125,0.7509765625,0.87109375
8,0.84765625,0.681640625,0.73046875,0.8623046875
9,0.85546875,0.6943359375,0.7431640625,0.86328125
10,0.8642578125,0.697265625,0.7373046875,0.8564453125
11,0.8017578125,0.65234375,0.71875,0.869140625
12,0.8369140625,0.66796875,0.6982421875,0.841796875
13,0.8056640625,0.658203125,0.708984375,0.8291015625
14,0.8173828125,0.6533203125,0.7060546875,0.8408203125
15,0.8115234375,0.666015625,0.720703125,0.8310546875
16,0.7744140625,0.6435546875,0.7119140625,0.8291015625
17,0.78125,0.6552734375,0.7021484375,0.8251953125
18,0.7919921875,0.658203125,0.7197265625,0.8515625
19,0.77734375,0.662109375,0.7060546875,0.8369140625
20,0.7890625,0.6748046875,0.69921875,0.8701171875
21,0.78515625,0.634765625,0.6748046875,0.85546875
22,0.814453125,0.6611328125,0.7080078125,0.8798828125
23,0.8369140625,0.6884765625,0.7138671875,0.8955078125
24,0.7958984375,0.6416015625,0.6826171875,0.8740234375
25,0.7744140625,0.6337890625,0.6826171875,0.8779296875
26,0.77734375,0.64453125,0.685546875,0.8779296875
27,0.88671875,0.7353515625,0.759765625,0.9091796875
